nombre_cie,nombre_sinonimo
Acacia visco,Parasenegalia visco
Annona cherimola,Annona cherimola
Annona muricata,Annona muricata
Brugmansia sanguinea,Brugmansia sanguinea
Carica papaya,Carica papaya
Delonix regia,Delonix regia
Eucalyptus spathulata,Eucalyptus spathulata
Ficus benjamina,Ficus benjamina
Ficus carica,Ficus carica
Ficus insipida,Ficus insipida
Inga edulis,Inga edulis
Mangifera indica,Mangifera indica
Melia azedarach,Melia azedarach
Moringa oleifera,Moringa oleifera
Morus alba,Morus mongolica
Myoporum tenuifolium,Myoporum montanum
Persea americana,Persea americana
Prunus persica,Amygdalus davidiana
Schinus terebinthifolia,Schinus lentiscifolius
Senna multiglandulosa,Senna multiglandulosa
Talipariti tiliaceum v. rubra,Hibiscus tiliaceus
Tecoma stans,Tecoma stans
Tipuana tipu,Tipuana tipu
