species,deprecated
Anairetes reguloides,
Asthenes arequipae,
Asthenes flammulata,
Asthenes humilis,
Asthenes modesta,
Asthenes ottonis,
Asthenes palpebralis,
Asthenes sclateri,
Asthenes virgata,
Asthenes wyatti,
Atlapetes nationi,
Butorides striata,
Camptostoma obsoletum,
Catharus ustulatus,
Chloroceryle americana,
Chloroceryle inda,
Cinclodes albiventris,
Cinclodes atacamensis,
Columbina cruziana,
Conirostrum cinereum,
Cranioleuca albicapilla,
Cyanoloxia rothschildii,
Dendrocincla merula,
Diglossa brunneiventris,
Donacobius atricapilla,
Galbula cyanescens,
Geocerthia serrana,
Geositta crassirostris,
Geositta cunicularia,
Geositta maritima,
Geositta tenuirostris,
Geospizopsis plebejus,
Geospizopsis unicolor,
Geotrygon montana,
Geotrygon violacea,
Grallaria andicolus,
Habia rubica,
Hemitriccus griseipectus,
Hypocnemoides maculicauda,
Isleria hauxwelli,
Jacana jacana,
Lathrotriccus euleri,
Leptasthenura aegithaloides,
Leptasthenura andicola,
Leptasthenura pileata,
Leptasthenura striata,
Metriopelia melanoptera,
Mimus longicaudatus,
Mionectes striaticollis,
Momotus coeruliceps,
Momotus momota,
Muscisaxicola albifrons,
Myrmelastes hyperythrus,
Myrmoborus myotherinus,
Myrmotherula axillaris,
Myrmotherula multostriata,
Ochthoeca oenanthoides,
Oneillornis salvini,
Passer domesticus,
Patagioenas maculosa,
Hafferia fortis,
Phlegopsis nigromaculata,
Rhopospina fruticeti ,Phrygilus fruticeti
Pipra fasciicauda,
Pipraeidea bonariensis,
Platyrinchus coronatus,
Progne chalybea,
Pseudasthenes cactorum,
Pyrocephalus rubinus,
Ramphocelus carbo,
Sclerurus caudacutus,
Sicalis olivascens,
Spinus atratus,
Spinus magellanicus,
Leistes bellicosus,Sturnella bellicosa
Systellura longirostris,
Taraba major,
Thamnomanes schistogynus,
Thinocorus rumicivorus,
Tangara episcopus,Thraupis episcopus
Turdus albicollis,
Turdus chiguanco,
Turdus fuscater,
Tyrannus melancholicus,
Upucerthia jelskii,
Xenops minutus,
Xenospingus concolor,
Xiphorhynchus elegans,
Xiphorhynchus guttatus,
Zenaida auriculata,
Zonotrichia capensis,
