previuos_name,new_name
Dryobates passerinus,Veniliornis passerinus
Cranioleuca gutturata,Thripophaga gutturata
Thamnophilus schitaceus,Thamnophilus schistaceus
Thamnophilus ardesiacus,Thamnomanes ardesiacus
Ixothraupis xanthogastra,Tangara xanthogastra
Thraupis palmarum,Tangara palmarum
Stilpnia nigrocincta,Tangara nigrocincta
Thraupis episcopus,Tangara episcopus
Stilpnia cyanicollis,Tangara cyanicollis
Myrmeciza hemimelaena,Sciaphylax hemimelaena
Nannopterum brasilianum,Nannopterum brasilianus
Percnostola lophotes,Myrmoborus lophotes
Syrtidicola fluviatilis,Muscisaxicola fluviatilis
Daptrius chimachima,Milvago chimachima
Loriotus rufiventer,Islerothraupis rufiventer
Dryocopus lineatus,Hylatomus lineatus
Vanellus cayanus,Hoploxypterus cayanus
Harpia harpyia,Harpia harpyja
Chlorothraupis carmioli,Habia carmioli
Empidonomus aurantioatrocristatus,Griseotyrannus aurantioatrocristatus
Frederickena unduligera,Frederickena unduliger
Bucco macrodactylus,Cyphos macrodactylus
Bucco macrodactylus,Cyphos macrodactylus
Oressochen melanopterus,Chloephaga melanoptera
Automulus ochrolaemus,Automolus ochrolaemus
Celeus grammicus,Celeus undatus
,Nystalus obamai
,Phaethornis malaris
,Crotophaga ani
